대분류,중분류,대분류 지출액 비율,중분류 지출액 비율
쇼핑업,관광기념품,29.2,0.3
쇼핑업,대형쇼핑몰,29.2,92.1
쇼핑업,레저용품쇼핑,29.2,7.7
숙박업,기타숙박,1.3,67.4
숙박업,캠핑장/펜션,1.3,0.0
숙박업,콘도,1.3,0.0
숙박업,호텔,1.3,32.5
식음료업,식음료,35.1,100.0
여가서비스업,골프장,1.6,56.7
여가서비스업,관광유원시설,1.6,6.6
여가서비스업,기타레저,1.6,20.7
여가서비스업,문화서비스,1.6,16.0
여행업,여행업,0.0,100.0
운송업,렌터카,32.8,0.0
운송업,수상운송,32.8,0.0
운송업,육상운송,32.8,100.0
