기준년월,광역지자체,중분류,소비액(천원)
202504,대전광역시,기타숙박,1040591.0
202504,대전광역시,육상운송,2.9479642E7
202504,대전광역시,관광기념품,92896.0
202504,대전광역시,레저용품쇼핑,3308124.0
202504,대전광역시,대형쇼핑몰,3.0348365E7
202504,대전광역시,관광유원시설,147244.0
202504,대전광역시,골프장,1266911.0
202504,대전광역시,기타레저,387783.0
202504,대전광역시,문화서비스,227639.0
202504,대전광역시,식음료,4.4994132E7
202504,대전광역시,여행업,30097.0
202504,대전광역시,수상운송,393.0
202504,대전광역시,렌터카,25974.0
202504,대전광역시,콘도,173.0
202505,대전광역시,호텔,563677.0
202505,대전광역시,캠핑장/펜션,491.0
202505,대전광역시,기타숙박,1133637.0
202505,대전광역시,여행업,7232.0
202505,대전광역시,육상운송,2.7432288E7
202505,대전광역시,관광기념품,123432.0
202505,대전광역시,레저용품쇼핑,3602827.0
202505,대전광역시,대형쇼핑몰,3.5599166E7
202505,대전광역시,관광유원시설,192434.0
202505,대전광역시,골프장,1342450.0
202505,대전광역시,기타레저,486607.0
202505,대전광역시,문화서비스,373677.0
202505,대전광역시,식음료,5.0579193E7
202505,대전광역시,렌터카,16114.0
202505,대전광역시,콘도,167.0
202506,대전광역시,호텔,459884.0
202506,대전광역시,캠핑장/펜션,976.0
202506,대전광역시,기타숙박,964171.0
202506,대전광역시,육상운송,2.438207E7
202506,대전광역시,관광기념품,98178.0
202506,대전광역시,레저용품쇼핑,2762163.0
202506,대전광역시,대형쇼핑몰,3.2186131E7
202506,대전광역시,관광유원시설,153229.0
202506,대전광역시,골프장,1297993.0
202506,대전광역시,기타레저,452674.0
202506,대전광역시,문화서비스,335375.0
202506,대전광역시,식음료,4.5900151E7
202506,대전광역시,여행업,34023.0
202506,대전광역시,수상운송,4.0
202506,대전광역시,렌터카,20340.0
202506,대전광역시,콘도,357.0
202507,대전광역시,호텔,460808.0
202507,대전광역시,캠핑장/펜션,1268.0
202507,대전광역시,기타숙박,1071822.0
202507,대전광역시,육상운송,2.7374128E7
202507,대전광역시,관광기념품,109364.0
202507,대전광역시,레저용품쇼핑,2904255.0
202507,대전광역시,대형쇼핑몰,2.9293237E7
202507,대전광역시,관광유원시설,92485.0
202507,대전광역시,골프장,1079673.0
202507,대전광역시,기타레저,494412.0
202507,대전광역시,문화서비스,340125.0
202507,대전광역시,식음료,4.5323046E7
202507,대전광역시,여행업,17229.0
202507,대전광역시,렌터카,12378.0
202507,대전광역시,콘도,966.0
202410,대전광역시,여행업,17122.0
202411,대전광역시,여행업,18318.0
202501,대전광역시,여행업,25932.0
202501,대전광역시,수상운송,0.0
202501,대전광역시,렌터카,15178.0
202502,대전광역시,렌터카,10455.0
202505,대전광역시,수상운송,1.0
202501,대전광역시,콘도,0.0
202502,대전광역시,수상운송,0.0
202503,대전광역시,수상운송,0.0
202507,대전광역시,수상운송,0.0
